depth,velocity,width,velocity_type,measure
9.550769555848092,4.388391686230897,2,medium,1
7.569870193954557,2.6826867065625266,2,low,2
4.30123079335317,0.6492761207278818,2,low,3
7.660454093711451,1.0307240198832006,2,low,4
18.19212357327342,3.388696325966157,2,medium,5
5.2074956020805985,2.1875919166253883,2,low,6
19.97411586623639,6.846454180870205,2,high,7
11.71649598586373,4.810067701525986,2,medium,8
4.195954331662506,3.8413042382104323,2,medium,9
9.577270378125831,8.86586465635337,2,high,10
15.312961626565084,1.5421082578599454,2,low,11
2.1245257745031267,1.8542447058251128,2,low,12
14.202566301682964,2.935978381126188,2,low,13
7.590667955810204,8.955970255844296,2,high,14
16.915946252876893,9.254111632239074,2,high,15
11.995402617612854,0.22432013323996217,2,low,16
14.016740387771279,4.566055036848411,2,medium,17
7.209717912832275,8.735291195241734,2,high,18
13.413288086652756,9.188745728740468,2,high,19
8.657047974644229,3.9071359961526473,2,medium,20
1.5169915433507413,5.485868844040669,2,high,21
1.860817683627829,4.398582678614184,2,medium,22
4.377007188042626,6.199556673783809,2,high,23
6.696023339172825,7.365730726672337,2,high,24
15.234815473668277,8.2226053082617,2,high,25
13.070346105610952,1.050056875566952,2,low,26
9.00417061126791,8.540751496143638,2,high,27
13.649689204990864,8.467604158748873,2,high,28
11.59353258810006,8.826560054742732,2,high,29
9.81186715955846,4.759954153816215,2,medium,30
19.347042200388387,7.099008960206993,2,high,31
7.7049613376148045,2.8196972612291575,2,low,32
8.584615534637123,1.6789984257658945,2,low,33
18.37038148404099,1.7006111431866886,2,low,34
12.462900611106306,0.6340700037078932,2,low,35
15.203369734343141,0.9665436383103951,2,low,36
10.87241942039691,8.27465220123995,2,high,37
8.027227719547227,7.404996009194292,2,high,38
6.454672570340335,2.2515095969894903,2,low,39
15.601879861438647,3.1023923648288476,2,medium,40
19.39672456169501,1.646020140592009,2,low,41
15.729196415748447,5.0625091589987274,2,high,42
19.629098848206922,2.3387050307122994,2,low,43
14.320917658740655,7.088145269802771,2,high,44
13.492465060437098,2.6369431835133583,2,low,45
13.531431760406122,8.531831422192045,2,high,46
17.590637342538685,5.695822746143676,2,high,47
2.0172124442178756,2.750661477004178,2,low,48
1.196299709379673,5.38415938578546,2,high,49
17.7034990247339,6.4919338989770035,2,high,50
5.390719699440524,4.258248863415792,2,medium,51
16.130818655947223,5.385086800414137,2,high,52
16.373697934439406,8.188817194616423,2,high,53
11.751540405675769,6.77870506530162,2,high,54
13.536097881849855,0.7281843039207161,2,low,55
17.980400674510747,7.748701185965911,2,high,56
18.053305795649067,7.120589923625812,2,high,57
8.401775917038321,3.533942097565159,2,medium,58
10.720620894338936,5.938495415449142,2,high,59
8.357096902094781,4.879583216435276,2,medium,60
8.31712902057916,9.92977271231357,2,high,61
9.450363028096035,1.6968890375457706,2,low,62
14.229307428235188,4.1072472294792535,2,medium,63
14.872663351008669,4.7631547894096,2,medium,64
8.516596189001575,9.007943752268329,2,high,65
17.513006520457566,5.540407831477933,2,high,66
14.60042852605693,2.5939573927316815,2,low,67
7.046957794111222,5.839320477913134,2,high,68
15.36293874005787,3.152696657832712,2,medium,69
7.689841274637729,1.8244598000310364,2,low,70
4.651507560163736,2.9199249329045416,2,low,71
12.166715561877936,8.27776497164741,2,high,72
2.4688757171388716,5.326225663651712,2,high,73
13.171619778731838,2.261447781324387,2,low,74
16.57604862144217,5.446881625708192,2,high,75
2.565027703298256,7.708854740206152,2,high,76
6.865569761022925,2.7935314611066135,2,low,77
12.770966068143025,9.92812399363611,2,high,78
9.796304368879646,4.5780414488166565,2,medium,79
19.813431094167754,3.0950332158245146,2,medium,80
4.317340350244194,8.364907454373315,2,high,81
14.884676618268713,5.050030504679307,2,high,82
14.776671187253669,6.495713053946383,2,high,83
14.406129273120314,3.590940519585274,2,medium,84
9.59515979513526,7.261465495382436,2,high,85
11.83989304699935,9.868563591153361,2,high,86
11.426720660878345,2.6997124136425557,2,low,87
18.56985745136626,0.5985877762548626,2,low,88
18.600508962525055,6.1817455853102725,2,high,89
5.7962748457212,6.418257355876267,2,high,90
3.7427133300807327,2.2574541001347828,2,low,91
1.087510985787958,3.0791525314096364,2,medium,92
16.086601444054395,2.255600706906989,2,low,93
9.23415608634241,9.199563406268135,2,high,94
2.25021840701811,3.139024520036765,2,medium,95
9.172071996610612,2.177450793422759,2,low,96
4.951253117062151,0.451116523030214,2,low,97
16.261393701890483,0.7271574574988335,2,low,98
9.460530870361254,2.263722754106857,2,low,99
4.719105429947376,9.523615584964864,2,high,100
